,AO,BI,BJ,ET,GH,KE,MG,ML,MZ,NA,NG,RW,SN,SL,SO,UG,ZA,ZW
2000,1.0,3.3,1.3,2.4,2.4,9.8,0.2,1.8,8.8,14.0,1.8,5.2,0.6,1.5,0.4,8.3,12.6,25.0
2001,1.1,3.1,1.3,2.2,2.4,9.3,0.2,1.7,9.5,14.3,1.8,4.9,0.6,1.6,0.4,8.0,13.8,23.8
2002,1.2,2.8,1.3,2.1,2.3,8.8,0.2,1.7,10.1,14.3,1.7,4.6,0.7,1.6,0.4,7.8,14.7,22.6
2003,1.3,2.6,1.3,1.9,2.2,8.2,0.2,1.6,10.5,14.2,1.7,4.3,0.7,1.6,0.4,7.6,15.5,21.3
2004,1.3,2.3,1.3,1.8,2.2,7.7,0.2,1.5,10.9,14.0,1.7,4.0,0.7,1.6,0.4,7.4,16.2,20.1
2005,1.4,2.2,1.3,1.7,2.1,7.3,0.2,1.5,11.1,13.8,1.7,3.8,0.7,1.5,0.4,7.3,16.8,19.0
2006,1.5,2.0,1.2,1.6,2.0,6.9,0.2,1.4,11.3,13.7,1.6,3.6,0.6,1.5,0.4,7.2,17.3,18.0
2007,1.6,1.9,1.2,1.5,2.0,6.6,0.2,1.4,11.5,13.6,1.6,3.5,0.6,1.5,0.3,7.1,17.7,17.1
2008,1.6,1.8,1.1,1.4,1.9,6.4,0.2,1.4,11.6,13.5,1.6,3.5,0.6,1.5,0.3,7.0,18.1,16.4
2009,1.7,1.7,1.1,1.4,1.9,6.2,0.2,1.4,11.8,13.4,1.6,3.4,0.6,1.5,0.3,6.9,18.5,15.8
2010,1.7,1.6,1.1,1.3,1.9,6.0,0.2,1.4,12.0,13.4,1.6,3.3,0.6,1.5,0.3,6.8,18.9,15.4
2011,1.8,1.5,1.1,1.3,1.9,5.8,0.2,1.4,12.1,13.2,1.6,3.3,0.6,1.5,0.2,6.8,19.3,15.0
2012,1.8,1.4,1.1,1.3,1.8,5.6,0.2,1.4,12.2,13.1,1.6,3.2,0.5,1.5,0.2,6.6,19.6,14.7
2013,1.9,1.3,1.1,1.2,1.8,5.5,0.2,1.4,12.3,13.0,1.6,3.1,0.5,1.5,0.2,6.5,19.9,14.4
2014,1.9,1.3,1.1,1.2,1.8,5.4,0.2,1.3,12.4,12.8,1.6,3.0,0.5,1.5,0.2,6.4,20.1,14.1
2015,1.9,1.2,1.1,1.1,1.8,5.2,0.2,1.3,12.5,12.6,1.6,2.9,0.5,1.5,0.2,6.2,20.3,13.8
2016,1.9,1.2,1.1,1.1,1.8,5.1,0.2,1.3,12.5,12.3,1.5,2.7,0.4,1.5,0.1,6.1,20.4,13.4
2017,2.0,1.1,1.0,1.1,1.7,4.9,0.3,1.3,12.6,12.1,1.5,2.6,0.4,1.5,0.1,5.9,20.5,13.1
